id,Name,Portion Size Options,Section,Selected Portion Size,Number of Portions,Frequency,Frequency Count
10.3.1,Muhallabiya/Rice pudding/Custard/Cream caramel (Homemade),"[""1 Medium container"", ""A1 ( Muhallabiya,Rice pudding,..)"", ""A2 ( Muhallabiya,Rice pudding,..)"", ""A3 ( Muhallabiya,Rice pudding,..)"", ""A4 ( Muhallabiya,Rice pudding,..)"", ""A5 ( Muhallabiya,Rice pudding,..)"", ""A6 ( Muhallabiya,Rice pudding,..)"", ""A7 ( Muhallabiya,Rice pudding,..)"", ""A8 ( Muhallabiya,Rice pudding,..)"", ""A9 ( Muhallabiya,Rice pudding,..)"", ""A10 ( Muhallabiya,Rice pudding,..)"", ""A11 ( Muhallabiya,Rice pudding,..)"", ""A12 ( Muhallabiya,Rice pudding,..)"", ""A13 ( Muhallabiya,Rice pudding,..)"", ""A14 ( Muhallabiya,Rice pudding,..)"", ""A15 ( Muhallabiya,Rice pudding,..)"", ""A16 ( Muhallabiya,Rice pudding,..)"", """"]",10,,0.0,,0.0
10.3.2,Muhallabiya/Rice pudding/Custard/Cream caramel (Industrial),"[""1 Medium container"", ""A1 ( Muhallabiya,Rice pudding,..)"", ""A2 ( Muhallabiya,Rice pudding,..)"", ""A3 ( Muhallabiya,Rice pudding,..)"", ""A4 ( Muhallabiya,Rice pudding,..)"", ""A5 ( Muhallabiya,Rice pudding,..)"", ""A6 ( Muhallabiya,Rice pudding,..)"", ""A7 ( Muhallabiya,Rice pudding,..)"", ""A8 ( Muhallabiya,Rice pudding,..)"", ""A9 ( Muhallabiya,Rice pudding,..)"", ""A10 ( Muhallabiya,Rice pudding,..)"", ""A11 ( Muhallabiya,Rice pudding,..)"", ""A12 ( Muhallabiya,Rice pudding,..)"", ""A13 ( Muhallabiya,Rice pudding,..)"", ""A14 ( Muhallabiya,Rice pudding,..)"", ""A15 ( Muhallabiya,Rice pudding,..)"", ""A16 ( Muhallabiya,Rice pudding,..)"", """"]",10,,0.0,,0.0
10.4,Sago,"[""A1 (Sago/Aseeda/Khabees)"", ""A2 (Sago/Aseeda/Khabees)"", ""A3 (Sago/Aseeda/Khabees)"", ""A4 (Sago/Aseeda/Khabees)"", ""A5 (Sago/Aseeda/Khabees)"", ""A6 (Sago/Aseeda/Khabees)"", ""A7 (Sago/Aseeda/Khabees)"", ""A8 (Sago/Aseeda/Khabees)"", ""A9 (Sago/Aseeda/Khabees)"", ""A10 (Sago/Aseeda/Khabees)"", ""A11 (Sago/Aseeda/Khabees)"", ""A12  (Sago/Aseeda/Khabees)"", ""A13 (Sago/Aseeda/Khabees)"", ""A14 (Sago/Aseeda/Khabees)"", ""A15 (Sago/Aseeda/Khabees)"", ""A16 (Sago/Aseeda/Khabees)"", """"]",10,,0.0,,0.0
10.5,Aseeda,"[""A1 (Sago/Aseeda/Khabees)"", ""A2 (Sago/Aseeda/Khabees)"", ""A3 (Sago/Aseeda/Khabees)"", ""A4 (Sago/Aseeda/Khabees)"", ""A5 (Sago/Aseeda/Khabees)"", ""A6 (Sago/Aseeda/Khabees)"", ""A7 (Sago/Aseeda/Khabees)"", ""A8 (Sago/Aseeda/Khabees)"", ""A9 (Sago/Aseeda/Khabees)"", ""A10 (Sago/Aseeda/Khabees)"", ""A11 (Sago/Aseeda/Khabees)"", ""A12  (Sago/Aseeda/Khabees)"", ""A13 (Sago/Aseeda/Khabees)"", ""A14 (Sago/Aseeda/Khabees)"", ""A15 (Sago/Aseeda/Khabees)"", ""A16 (Sago/Aseeda/Khabees)"", """"]",10,,0.0,,0.0
10.6,khabees.,"[""A1 (Sago/Aseeda/Khabees)"", ""A2 (Sago/Aseeda/Khabees)"", ""A3 (Sago/Aseeda/Khabees)"", ""A4 (Sago/Aseeda/Khabees)"", ""A5 (Sago/Aseeda/Khabees)"", ""A6 (Sago/Aseeda/Khabees)"", ""A7 (Sago/Aseeda/Khabees)"", ""A8 (Sago/Aseeda/Khabees)"", ""A9 (Sago/Aseeda/Khabees)"", ""A10 (Sago/Aseeda/Khabees)"", ""A11 (Sago/Aseeda/Khabees)"", ""A12  (Sago/Aseeda/Khabees)"", ""A13 (Sago/Aseeda/Khabees)"", ""A14 (Sago/Aseeda/Khabees)"", ""A15 (Sago/Aseeda/Khabees)"", ""A16 (Sago/Aseeda/Khabees)"", """"]",10,,0.0,,0.0
10.7,Other Arabic sweets (kunefe/baklawa…,"[""B1  (Arabic Sweet)"", ""B2  (Arabic Sweet)"", ""B3  (Arabic Sweet)"", ""B4  (Arabic Sweet)"", ""B5  (Arabic Sweet)"", """"]",10,,0.0,,0.0
11.1,Cakes and pastries (Homemade),"[""B1,6 (Sponge cake, Plain cake, Homemade) "", ""B2,6 (Sponge cake, Plain cake, Homemade) "", ""B3,6 (Sponge cake, Plain cake) "", ""B4,6 (Sponge cake, Plain cake) "", ""B5,6 (Sponge cake, Plain cake) "", ""B1,10 (cheese cakes, Cookies, Brownies) "", ""B2,10 (cheese cakes, Cookies, Brownies) "", ""B3,10 (cheese cakes, Cookies, Brownies) "", ""B4,10 (cheese cakes, Cookies, Brownies) "", ""B5,10 (cheese cakes, Cookies, Brownies) "", """"]",11,,0.0,,0.0
11.1.1,Cakes and pastries (Industrial),"[""B1,6 (Sponge cake, Plain cake) "", ""B2,6 (Sponge cake, Plain cake) "", ""B3,6 (Sponge cake, Plain cake) "", ""B4,6 (Sponge cake, Plain cake) "", ""B5,6 (Sponge cake, Plain cake) "", ""B1,10 (cheese cakes, Cookies, Brownies) "", ""B2,10 (cheese cakes, Cookies, Brownies) "", ""B3,10 (cheese cakes, Cookies, Brownies) "", ""B4,10 (cheese cakes, Cookies, Brownies) "", ""B5,10 (cheese cakes, Cookies, Brownies) "", """"]",11,,0.0,,0.0
11.2,Croissant (Homemade),"[""1 Large croissant"", ""1 Small croissant"", """"]",11,,0.0,,0.0
11.2.1,Croissant (industrial),"[""1 Large croissant"", ""1 Small croissant"", """"]",11,,0.0,,0.0
11.3,Chocolate ,"["" B1 (Chocolate)"", "" B2 (Chocolate)"", "" B3 (Chocolate)"", "" B4 (Chocolate)"", "" B5 (Chocolate)"", """"]",11,,0.0,,0.0
11.4.1,Ice cream ( stick),"[""1 stick Ice cream"", """"]",11,,0.0,,0.0
11.4.2,Ice cream ( scope),"[""1 scoop Ice cream"", """"]",11,,0.0,,0.0
11.5,Doughnuts ,"[""1 medium doughnut"", """"]",11,,0.0,,0.0
11.6,Energy bars,"[""1 medium energy bar"", """"]",11,,0.0,,0.0
12.1,Water ,"[""1 liter of water"", ""A6 (water)"", """"]",12,,0.0,,0.0
12.2,"Fruit Juices, bottled","[""1 regular fruit juice bottle"", ""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.3,Karak ,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.4,Tea/ Herbal tea,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.5,Coffee/ Turkish coffee,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.6,Evaporated milk/ coffee creamer  ,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.7,Arabic coffee,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.8,Soda Regular,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.9,Soda Diet,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.10,Energy drink,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
12.11,Diet energy drinks,"[""A4 (Beverages)"", ""A5 (Beverages)"", ""A6 (Beverages)"", ""A7 (Beverages)"", ""A8 (Beverages)"", ""A9(Beverages)"", ""A10(Beverages)"", """"]",12,,0.0,,0.0
13.1,Jam,"[""A1 (Jam,Honey, syprups)"", ""A2 (Jam,Honey, syprups)"", ""A3 (Jam,Honey, syprups)"", """"]",13,,0.0,,0.0
13.2,"Honey, molasses, maple syrup ","[""A1 (Jam,Honey, syprups)"", ""A2 (Jam,Honey, syprups)"", ""A3 (Jam,Honey, syprups)"", """"]",13,,0.0,,0.0
13.4,"Halwa, rahash","[""A1 (Halawah, Rahash)"", ""A2 (Halawah, Rahash)"", ""A3 (Halawah, Rahash)"", """"]",13,,0.0,,0.0
13.5,Sugar (added to drinks mainly) ,"[""A1 (Sugar)"", ""A2 (Sugar)"", ""A3 (Sugar)"", """"]",13,,0.0,,0.0
15.1,Butter/ghee (including added to rice/traditional dishes- not during cooking ),"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",15,,0.0,,0.0
15.2,"Mayonnaise, ranch dressing, 1000 thousand islands","[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",15,,0.0,,0.0
15.3,Olive oil,"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",15,,0.0,,0.0
15.4,Tahini,"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",15,,0.0,,0.0
15.5,"Vegetable oil (Sunflower oil, corn oil, canola oil) ","[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",15,,0.0,,0.0
15.6,Olives,"[""1 Medium olive"", """"]",15,,0.0,,0.0
16.1,Butter/animal ghee,"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",16,,0.0,,0.0
16.2,Olive oil,"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",16,,0.0,,0.0
16.3,Vegetable ghee,"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",16,,0.0,,0.0
16.4,"Vegetable oil (Sunflower oil, corn oil, canola oil)","[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",16,,0.0,,0.0
16.5,Cooking cream (as part of dishes),"[""A1 (Butter/ ghee/ oils/ Sauces)"", ""A2 (Butter/ ghee/ oils/ Sauces)"", ""A3 (Butter/ ghee/ oils/ Sauces)"", """"]",16,,0.0,,0.0
17.1,"Ketchup, Mustard, BBQ sauce","[""A1 (Sauces)"", ""A2 (Sauces)"", ""A3 (Sauces)"", """"]",17,A2 (Sauces),3.0,Per day,4.0
17.2,Salt shaker use (at the table),"[""1 salt shake"", """"]",17,1 salt shake,6.0,Per week,1.0
17.3,Pickles ,"[""1 Medium cucumber"", """"]",17,1 Medium cucumber,0.1,Per day,2.0
